Retailer,Plan Details,Pricing,Contract Length,Early Exit Fee,Retail Admin Fee,Retail Admin Fee Structure,Retailer Charge,Retailer Charge Structure,Variable Distribution,Fixed Distribution,Variable Transmission,Balancing Pool Rider,Per KwH rate Rider,Transmission Rate Rider,Local Access Fee,
Get Energy,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,5.99000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
NewGen Energy,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.00000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Solarmax Power,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.00000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Adagio Energy,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.20000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Brighter Futures Energy Inc.,HI Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.20000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Bow Valley Power,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.50000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Mountain View Power,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.50000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
EMCO Energy,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.75000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Park Power,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.90000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Fluent Utilities,HI-Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,6.95000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Green Power,HI Export MicroGen Solar Club Rate,Microgeneration Rate,3 Year Contract,0.00000,8.90000,Per Month,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Alberta Cooperative Energy (ACE),Microgenerator Rate (& Green micro-gen) at $0.22 + $0.0085 (*EMR)/kWh,Microgeneration Rate,1 Year Contract,0.00000,6.50000,Per 30 Days,22.00000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,$0.009 Electricity Transaction Charge
